,Star_name,Distance,Mass,Radius,Gravity
48,Alphard,180.0,3.0,50.0,0.32912299375148873
49,Scheat,196.0,2.1,95.0,0.0638188630543053
50,Almaaz,653.0,15.0,140.0,0.20989986846395964
51,Rasalgethi,360.0,2.8,280.0,0.009795327194984781
52,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
53,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
54,Ran,10.48,0.82,0.74,410.70254272616984
55,V382 Carinae,,20.0,485.0,0.023319728894426524
56,Eta Carinae,,100.0,,
57,Delta Cephei,887.0,4.5,44.5,0.6232603088337749
58,Mu Cephei,,19.2,972.0,0.005573726798954914
59,Titawin,44.25,1.27,1.48,159.02202111653529
60,Rho Cassiopeiae,,22.0,,
61,P Cygni,,30.0,76.0,1.4245281931764575
62,VV Cephei,,18.2,,
63,61 Cygni,11.41,0.7,0.665,434.14192553949175
64,R Doradus,178.0,,298.0,
65,Polaris Australis,281.0,1.59,3.74,31.176754176608036
66,R Coronae Borealis,,0.85,85.0,0.032266960171714584
67,54 Piscium,36.1,0.76,0.94,235.9037604224493
68,Mira,300.0,1.2,370.0,0.00240411244522636
69,RW Cephei,,13.9,,
70,Lacaille 8760,12.87,0.6,0.51,632.685493563031
71,V838 Monocerotis,,,,
72,HD 140283,190.0,,1.4,
73,II Pegasi,130.0,0.8,3.4,18.98056480689093
74,VY Canis Majoris,,17.0,,
75,Pistol Star,,100.0,320.0,0.2678409779878652
76,S Doradus,,24.0,380.0,0.04558490218164664
77,UY Scuti,,,755.0,
78,Barnard's Star,5.98,0.14,0.2,959.9420651085089
79,Luhman 16,6.52,0.04,,
80,Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
81,KIC 8462852,,1.43,1.58,157.10819615734286
82,R136a1,,290.0,32.0,77.67388361648091
83,Melnick 42,,189.0,21.1,116.4324060911917
84,WR 102,,19.0,0.39,34261.104981800825
85,VFTS 352,,57.48,14.47,75.29335961731135
86,YBP 1194,,1.01,0.99,282.6363157577489
87,Gliese 1214,47.5,0.16,0.21,995.0808579032163
88,NML Cygni,,50.0,,
89,VB 10,18.72,0.075,0.1,2057.0187109468043
90,WOH G64,,,,
91,TRAPPIST-1,39.6,0.08900000000000001,0.12,1695.1357895765336
92,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
93,WISE 0855−0714,7.27,0.003,,
94,Icarus,,33.0,,
95,SDSS J000013.54+255418.6 [de],46.1,0.04582022400000001,0.10173537,1214.200056936461
96,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998,177.29553270309611
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
98,2MASS J00274197+0503417,236.0,0.029592227999999998,0.14797871999999998,370.6432628229708
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838123
100,2MASS J00332386-1521309 [de],131.0,0.027683052000000003,0.14695108999999998,351.59713187176385
101,2MASS J00345157+0523050,31.0,0.040092696,0.09659721999999997,1178.454947179717
102,2MASS 0036+1821,28.6,0.040092696,0.09659721999999997,1178.454947179717
103,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
104,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.1335919,176.04104671648304
105,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999997,1122.3380449330639
106,2MASS J00584253-0651239 [de],96.0,0.027683052000000003,0.14695108999999998,351.59713187176385
107,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598
108,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,1342.3649161325598
109,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383
110,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
111,SDSS J015141.69+124429.6,70.0,0.04486563599999999,0.09968011,1238.4366334263516
112,SDSS J020742.48+000056.2 [de],111.0,0.04486563599999999,0.09968011,1238.4366334263516
113,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
114,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383
115,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998,336.70141347991915
116,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173537,834.762539143817
117,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
118,Teegarden's star,12.578,0.07636704,0.13050900999999998,1229.7078510792421
119,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,446.40140770557866
120,WISE J0254+0223,24.0,0.06204822,0.1952497,446.40140770557866
121,DEN 0255-4700,16.2,0.07636704,0.09968011,2107.9772483852794
122,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,1291.1360646359838
123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,1649.7053854867902
124,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.93362261908166
125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,1236.1885136462176
126,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335919,264.0615700747245
127,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,1393.9943359838123
128,2MASS J03341218-4953322,27.0,0.06968492400000001,0.10687352,1673.3068242582378
129,LP 944-20,20.9,0.06968492400000001,0.14695108999999998,885.0548491944401
130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
131,Teide 1,380.0,0.05250234,0.38844414,95.43298113794582
132,2MASS J03510004-0052452,48.0,0.097367976,0.13050900999999998,1567.8775101260337
133,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,824.1256757641451
135,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.384557701969
136,2MASS J04351612-1606574,34.0,0.09545880000000001,0.12948137999999998,1561.6306004391142
137,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,249.14464404913377
138,2MASS J04390101-2353083 [de],29.5,0.04582022400000001,0.09968011,1264.786349031168
139,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
140,2MASS J04455387-3048204 [de],42.0,0.061093632,0.10276300000000001,1586.716634404567
141,2MASS J04510093-3402150 [de],69.0,0.0009927715199999998,7.398935999999999,0.004973793462398576
142,2MASS J05002100+0330501 [de],44.0,0.061093632,0.10276300000000001,1586.716634404567
143,2MASS J05012406-0010452 [de],64.0,0.020046348,0.14181293999999994,273.3886765721482
144,2MASS J05160945-0445499 [de],73.0,0.04486563599999999,0.09968011,1238.4366334263516
145,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.6678012497337
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740254
147,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,349.1718362013976
148,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,413.1893345369554
149,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,1416.5667330925376
150,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
151,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,1686.5610484742424
152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,671.1824580662799
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999997,1150.3964960563903
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999997,1038.162691563084
156,SDSS J074201.41+205520.5 [de],49.0,0.041047283999999996,0.09659721999999997,1206.5133983030435
157,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1659.2174251037488
158,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999998,0.010776993793094389
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999997,1234.5718494263704
160,2MASS J08251968+2115521 [de],35.0,0.049638576,0.10070774,1342.3649161325598
161,SDSSp J083008.12+482847.4 [de],43.0,0.04582022400000001,0.10173537,1214.200056936461
162,LHS 2021,55.0,0.084003744,0.11817745,1649.7053854867902
163,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865248,1237.4702484573381
164,2MASSI J0835425-081923 [de],23.53,0.059184455999999996,0.10276300000000001,1537.1317395794242
165,2MASSI J0847287-153237 [de],43.0,0.061093632,0.10276300000000001,1586.716634404567
166,2MASS J08533619-0329321,27.6,0.07350327599999999,0.10995641,1667.410647888894
167,2MASSI J0859254-194926 [de],50.0,0.047729400000000005,0.10070774,1290.7354962813079
168,2MASSI J0937347+293142,20.0,0.040092696,0.09659721999999997,1178.454947179717
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,879.0673874817548
170,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865248,1318.174829878469
171,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999997,1234.5718494263704
172,2MASSI J1010148-040649 [de],55.0,0.048683988,0.10070774,1316.5502062069338
173,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,336.70141347991915
174,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968011,1291.1360646359838
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659721999999997,1178.454947179717
176,DEN 1048-3956,13.15,0.07350327599999999,0.10995641,1667.410647888894
177,Luhman 16B,6.516,0.041047283999999996,0.10481826,1024.6782379282668
178,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
179,DENIS-P J1058.7−1548,49.0,0.061093632,0.10276300000000001,1586.716634404567
180,TWA 28,180.0,0.034365168,0.24560357,156.25218516002334
181,Cha 110913-773444,163.0,0.007636704,0.1849734,61.21591953721324
182,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
183,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865248,887.7503956324384
184,TWA 26,137.0,0.02863764,0.22607860000000002,153.6721947060208
185,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,407.6980241178403
186,2MASSW J1155395-372735 [de],31.0,0.061093632,0.10276300000000001,1586.716634404567
187,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,144.1372066665686
188,2MASSI J1217110-031113 [de],36.0,0.040092696,0.09659721999999997,1178.454947179717
189,2M 1237+6526,45.6,0.039138108,0.09659721999999997,1150.3964960563903
190,TWA 29,262.0,0.001909176,2.569075,0.07933583172022834
191,SDSSp J125453.90-012247.4 [de],38.0,0.04486563599999999,0.10070774,1213.291366504429
192,Kelu-1A,61.0,0.060139044,0.10070774,1626.3267253144477
193,Kelu-1B,61.0,0.055366104000000006,0.10070774,1497.253175686317
194,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,1628.363862996061
195,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.09968011,1343.8354958456157
196,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999997,1234.5718494263704
197,2MASS J13595510-4034582,51.0,0.060139044,0.10276300000000001,1561.9241869919956
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,860.8488684920613
199,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173537,1492.4542366510664
200,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.80704526170723
201,LHS 2924,38.5,0.072548688,0.10892878,1676.9544351685863
202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1682.5866846122526
203,LSPM J1440+1339,72.0,0.087822096,0.12228796999999997,1610.6949805497964
204,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173537,1492.4542366510664
205,CFBDSIR 1458+10A,104.0,0.010595926799999999,0.1541445,122.30940723535208
206,CFBDSIR 1458+10B,104.0,0.008591292,0.1335919,132.03078503736225
207,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,1686.5610484742424
208,2MASS 1503+2525,20.7,0.042001872,0.09659721999999997,1234.5718494263704
209,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999997,1234.5718494263704
210,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,1644.2511259779164
211,2MASS 1507−1627,23.9,0.05727528000000001,0.10173537,1517.7500711705766
212,TVLM 868-110639,53.0,0.075412452,0.11098404,1679.1866817499465
213,2MASSW J1515008+484742 [de],34.0,0.05441151599999999,0.10173537,1441.862567612047
214,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070774,1393.9943359838123
215,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.10276300000000001,1561.9241869919956
216,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999997,1234.5718494263704
217,2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695108999999998,363.7211709018246
218,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,1659.2174251037488
219,2MASS J16150413+1340079 [de],48.0,0.040092696,0.09659721999999997,1178.454947179717
220,SDSSp J162414.37+002915.6 [de],36.0,0.041047283999999996,0.09659721999999997,1206.5133983030435
221,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,1659.2174251037488
222,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968011,1291.1360646359838
223,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999997,1150.3964960563903
224,LSPM J1658+7027 [de],60.0,0.06968492400000001,0.10687352,1673.3068242582378
225,2MASSI J1726000+153819,114.0,0.022910112000000003,0.14386819999999995,303.5809887253639
226,SDSSp J175032.96+175903.9,90.0,0.04486563599999999,0.09968011,1238.4366334263516
227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,1236.1885136462176
228,LSR J1835+3259,18.5,0.07350327599999999,0.10995641,1667.410647888894
229,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,1628.363862996061
230,2MASS J18432213+4040209,46.0,0.09164044800000001,0.12537086,1599.082875306941
231,2MASS J20004841-7523070,105.0,0.023864700000000003,0.19319444,175.3653195207912
232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,1237.4702484573381
233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1668.0808524413649
234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
235,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739,68.84143200551664
236,HB 2124-4228,113.0,0.08973127199999999,0.12434323,1591.756066376414
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,1237.4702484573381
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1391.270898573028
239,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
240,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998,336.70141347991915
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,1543.0459056900854
242,2MASS J22282889-4310262,35.0,0.040092696,0.09659721999999997,1178.454947179717
243,2MASS J22373255+3922398,64.0,0.06968492400000001,0.10687352,1673.3068242582378
244,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256426999999998,178.78094402431134
245,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284056999999994,307.964772994003
246,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.71476840857292
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998,1621.3847891693526
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.384557701969
249,WISE 0410+1502,20.0,0.005727528000000001,0.12023270999999998,108.66731278795255
250,WISE 0458+6434A,35.9,0.01431882,0.43160459999999995,21.082013105928034
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,17.169284911753024
252,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367509
